LinMan,Site,Season,uso,vveg,temp
1,11,1,1,0.13455,23.81
2,21,1,1,0.208426,23.81
2,21,2,1,0.125874,21.96
2,21,3,1,0.2592,15.26
2,22,2,1,0.3294,16
3,31,1,0,0.0732685,23.81
4,41,1,0,0.14696,23.81
4,41,2,0,0.6618375,21.96
4,41,3,0,1.0362,15.26
4,42,1,1,0.3642,24.4
5,51,1,0,0.139407,23.81
5,52,2,1,0.4278,16
5,52,3,1,0.3437,14.8
6,61,1,0,0.0417695,23.81
6,61,2,1,0.106247,21.96
6,61,3,1,0.08829,15.26
6,62,1,1,0.0779,24.4
7,71,1,1,0.112662,23.81
7,71,2,1,0.280395,21.96
7,71,3,1,0.327275,15.26
7,72,1,1,0.1921,24.4
7,72,2,1,0.2073,16
7,72,3,1,0.1279,14.8
8,81,1,0,0.072877778,23.81
8,81,2,1,0.697721,21.96
8,81,3,1,0.219215,15.26
8,82,1,1,0.2368,24.4
8,82,2,1,0.1121,16
8,82,3,1,0.0285,14.8
9,91,1,1,0.1474342,23.81
9,92,2,1,0.2926,16
9,92,3,1,0.099,14.8
10,101,1,1,0.130854,23.81
10,101,2,1,0.378896,21.96
11,111,1,0,0.10292,23.34
11,111,2,0,0.212036,21.91
11,111,3,0,0.2196,15.6
11,112,1,0,0.2175,24
11,112,2,0,0.5384,15.6
11,112,3,0,0.2809,15.1
12,121,1,0,0.1538,23.34
12,121,2,0,0.1082,21.91
12,121,3,0,0.1618,15.6
12,122,1,0,0.0641,24
12,122,3,0,0.2225,15.1
13,131,1,0,0.157755,23.34
13,131,2,0,0.069258,21.91
13,132,1,0,0.0276,24
14,141,1,0,0.080055556,23.34
15,151,1,0,0.137709,23.34
15,151,2,0,0.190632,21.91
15,151,3,1,0.1604,15.6
15,152,2,0,0.4658,15.6
15,152,3,0,0.1941,15.1
16,161,1,0,0.0387005,23.34
16,162,3,0,0.1424,15.1
17,171,1,0,0.128234,23.34
17,171,3,0,0.11907,15.6
18,181,1,0,0.21489,23.34
19,191,1,0,0.168044,23.34
20,201,1,1,0.201314,23.34
20,201,2,1,0.410504,21.91
20,202,1,0,0.1143,24
20,202,2,0,0.1778,15.6
20,202,3,0,0.0203,15.1
21,211,1,0,0.2487901,24.04
22,221,1,0,0.137863,24.04
23,231,1,0,0.15561,24.04
24,241,1,0,0.210393,24.04
24,242,1,1,0.5246,23.5
24,242,2,1,0.461,20.8
24,242,3,1,0.2974,10.7
25,251,1,1,0.1374204,24.04
26,261,1,1,0.159125,24.04
27,271,1,1,0.257568,24.04
28,281,1,0,0.193068,24.04
29,291,1,1,0.2433,22.87
30,301,1,0,0.2127,22.87
30,301,2,0,0.6444615,21.21
31,311,1,0,0.2594112,22.87
31,311,2,0,0.497333333,21.21
31,311,3,0,0.2768,6.78
31,312,1,0,0.539,25
31,312,2,0,0.606,21.7
31,312,3,1,0.2398,12.6
32,321,1,0,0.239946,23.06
32,321,2,0,0.3804,21.29
32,321,3,0,0.3715,6.8
32,322,2,0,0.349,21.3
33,331,1,0,0.03939,23.06
33,331,2,0,0.139285,21.29
33,332,3,0,0.3452,12.3
34,341,1,0,0.0681525,23.06
34,342,2,0,0.3912,21.3
35,351,1,0,0.042126,23.06
35,351,2,0,0.440108,21.29
35,351,3,0,0.207009,6.8
35,352,1,0,0.2258,25.2
35,352,2,0,0.2754,21.3
35,352,3,0,0.1987,12.3
36,361,1,0,0.074753,23.06
36,361,2,0,0.4886585,21.29
36,361,3,0,0.236064,6.8
36,362,1,0,0.0877,25.2
36,362,2,0,0.3296,21.3
36,362,3,0,0.065,12.3
37,371,1,0,0.1386605,23.06
37,371,2,0,0.242952,21.29
38,381,1,0,0.117079,23.06
38,382,3,0,0.4913,12.3
39,391,1,0,0.11858,23.06
39,391,2,0,0.548736,21.29
39,391,3,0,0.202275,6.8
39,392,1,0,0.2628,25.2
39,392,2,0,0.3681,21.3
39,392,3,0,0.2566,12.3
40,401,1,0,0.144786,23.06
40,401,2,0,0.2792475,21.29
40,401,3,0,0.200305,6.8
40,402,1,0,0.1727,25.2
40,402,2,0,0.2651,21.3
40,402,3,0,0.3132,12.3
41,411,1,0,0.14977,23.06
41,412,1,0,0.257,25.2
41,412,2,1,0.2048,21.3
42,421,1,0,0.2252,23.06
48,481,2,1,0.5606615,21.96
48,481,3,1,0.2388,15.26
48,482,1,1,0.2318,24.4
48,482,2,1,0.1117,16
48,482,3,1,0.0857,14.8
50,501,2,1,0.224224,21.96
50,501,3,1,0.1634,15.26
50,502,1,1,0.1446,24.4
50,502,2,1,0.4455,16
51,511,2,1,0.099176,21.96
51,511,3,0,0.2887,15.26
52,521,2,1,0.08183,21.96
52,521,3,1,0.11723,15.26
52,522,1,1,0.1727,24.4
52,522,2,1,0.0528,16
52,522,3,1,0.0668,14.8
53,531,2,1,0.3962385,21.91
53,532,1,1,0.2397,24
53,532,2,1,0.471,15.6
53,532,3,1,0.0606,15.1
57,571,2,0,0.097728,21.91
57,572,2,0,0.8328,15.6
57,572,3,0,0.3223,15.1
58,581,2,0,0.2428565,21.91
58,582,1,0,1.0002,24
60,601,2,0,0.4797405,21.91
60,602,2,0,0.34,15.6
61,611,2,1,0.3536,21.91
61,611,3,1,0.381615,15.6
61,612,2,0,0.6686,15.6
61,612,3,0,0.4519,15.1
63,631,2,0,0.435897,20.63
63,631,3,0,0.252332,6.6
63,632,1,0,0.47,23.5
63,632,2,0,0.4096,20.8
63,632,3,1,0.09,10.7
64,641,2,1,0.43048,20.63
64,641,3,1,0.2841,6.6
64,642,1,1,0.4906,23.5
64,642,2,1,0.3204,20.8
64,642,3,1,0.2354,10.7
65,651,2,1,0.495444,20.63
65,651,3,1,0.264768,6.6
65,652,1,1,0.4679,23.5
65,652,2,0,0.4169,20.8
65,652,3,1,0.2596,10.7
66,661,2,1,0.5652075,20.63
66,661,3,1,0.32352,6.6
66,662,1,1,0.4004,23.5
66,662,2,1,0.139,20.8
66,662,3,1,0.0618,10.7
67,671,2,1,0.348465,20.63
67,671,3,1,0.239512,6.6
67,672,1,1,0.411,23.5
67,672,2,1,0.3281,20.8
67,672,3,1,0.1288,10.7
68,681,2,1,0.937704,20.63
68,681,3,0,1.046534,6.6
68,682,1,1,0.6419,23.5
68,682,2,1,0.5598,20.8
68,682,3,1,0.4077,10.7
69,691,2,1,0.646765,20.63
69,691,3,0,0.311516,6.6
70,701,2,1,0.290656,20.63
70,702,2,0,0.4202,20.8
70,702,3,0,0.2977,10.7
72,721,2,0,0.482793,21.21
72,721,3,1,0.234812,6.78
72,722,1,1,0.4346,25
72,722,2,0,0.26,21.7
72,722,3,1,0.3914,12.6
76,761,2,0,0.319033,21.29
76,761,3,0,0.200784,6.8
76,762,1,0,0.1704,25.2
76,762,2,0,0.2107,21.3
76,762,3,0,0.1494,12.3
80,801,2,0,0.58514,21.29
80,801,3,0,0.4499,6.8
80,802,1,0,0.0847,25.2
80,802,2,0,0.512742,
83,831,2,1,0.4481,21.29
83,831,3,1,0.2535,6.8
83,832,1,1,0.2036,25.2
84,841,2,0,0.442029,21.29
84,842,3,0,0.1111,12.3
90,901,3,1,0.3279,15.26
90,902,1,1,0.1703,24.4
90,902,2,1,0.5506,16
90,902,3,1,0.332,14.8
97,971,3,0,0.278255,15.6
100,1001,3,1,0.5233,15.6
100,1002,1,0,0.1028,24
100,1002,3,0,0.3025,15.1
101,1011,3,0,0.14436,15.6
102,1021,3,0,0.34236,15.6
102,1022,3,0,0.3122,15.1
104,1041,3,1,0.3737,15.6
104,1042,2,1,0.2536,15.6
110,1101,3,0,0.3393825,6.6
114,1141,3,0,0.181116,6.78
119,1191,3,0,0.09044,6.8
119,1192,1,0,0.1459,25.2
119,1192,3,0,0.3436,12.3
122,1221,3,0,0.138291,6.8
125,1251,3,0,0.152847,6.8
125,1252,2,0,0.233,21.3
125,1252,3,0,0.1583,12.3
152,1522,1,0,0.3184,25.2
152,1522,2,0,0.1516,21.7
162,1622,1,0,0.7263,25.2
172,1722,2,1,0.4507,16
172,1722,3,1,0.3228,14.8
177,1772,2,1,0.0652,15.6
190,1902,2,0,0.6184,20.8
199,1992,2,0,0.6826,21.3
212,2122,3,1,0.4124,14.8
213,2132,3,0,0.2645,14.8
233,2332,3,1,0.4918,12.6
