farm,year,season,season1,point,point2,volveg,manejo,total
AV,1,spring,1,1AVC,1,0.08,2,1
AV,1,spring,1,12AVC,2,0.38,2,9
AV,1,spring,1,6AVC,3,0.24,2,50
AV,1,spring,1,4AVC,4,0.53,2,3
AV,1,spring,1,2AVC,5,0.08,2,1
AV,1,spring,1,7AVC,6,0.02,2,3
AV,1,spring,1,8AVC,7,0.06,2,14
AV,1,spring,1,10AVC,8,0.25,2,74
AV,1,spring,1,10AVO,9,0.9,1,208
AV,1,spring,1,5AVO,10,1.01,1,1134
AV,1,spring,1,1AVO,11,0.33,1,17
AV,1,spring,1,8AVO,12,0.76,1,42
AV,1,spring,1,7AVO,13,0.92,1,133
AV,1,spring,1,4AVO,14,0.06,1,23
AV,1,spring,1,9AVC,15,0.08,2,19
AV,1,spring,1,2AVO,16,0.47,1,94
AV,1,spring,1,6AVO,17,0.11,1,9
AV,2,spring,1,0AVC,18,0.1,2,41
AV,2,spring,1,3AVC,19,0.06,2,76
AV,2,spring,1,6AVC,20,0.07,2,24
AV,2,spring,1,7AVC,21,0.12,2,15
AV,2,spring,1,5AVC,22,0.08,2,44
AV,2,spring,1,11AVC,23,0.49,2,28
AV,2,spring,1,1AVC,24,0.06,2,6
AV,2,spring,1,4AVC,25,0.36,2,202
AV,2,spring,1,9AVC,26,0.17,2,26
AV,2,spring,1,3AVO,27,0.77,1,0
AV,2,spring,1,1AVO,28,1.28,1,144
AV,2,spring,1,2AVO,29,1.31,1,15
AV,2,spring,1,6AVO,30,0.74,1,109
AV,2,spring,1,4AVO,31,0.78,1,19
AV,2,spring,1,5AVO,32,0.32,1,48
AV,2,spring,1,7AVO,33,0.82,1,36
AV,2,spring,1,8AVO,34,0.95,1,162
CH,1,spring,1,7CH,47,0.15,2,23
CH,1,spring,1,6CH,48,0.29,2,172
CH,1,spring,1,5CH,49,0.07,2,252
CH,1,spring,1,1CH,50,0.11,2,173
CH,1,spring,1,20CH,51,0.15,2,93
CH,1,spring,1,8CH,52,0.06,2,194
CH,1,spring,1,9CH,53,0.05,2,13
CH,1,spring,1,11CH,54,0.42,2,1533
CH,1,spring,1,10CH,55,0.2,2,118
CH,1,spring,1,13CH,56,0.8,2,160
CH,1,spring,1,22CH,57,0.55,2,1681
CH,1,spring,1,21CH,58,0.45,2,277
CH,1,spring,1,23CH,59,0.07,2,28
CH,1,spring,1,2CH,60,0.1,2,147
CH,1,spring,1,4CH,61,0.1,2,68
CH,1,spring,1,3CH,62,0.33,2,72
CH,1,spring,1,18CH,63,1.28,2,0
CH,1,spring,1,19CH,64,0.89,2,334
CH,1,spring,1,17CH,65,0.14,2,13
CH,1,spring,1,16CH,66,0.27,2,390
CH,2,spring,1,2CH,67,0,2,10
CH,2,spring,1,28CH,68,1.1,2,145
CH,2,spring,1,23CH,69,0.4,2,93
CH,2,spring,1,11CH,70,0.17,2,68
CH,2,spring,1,29CH,71,0.37,2,234
CH,2,spring,1,15CH,72,0.13,2,40
CH,2,spring,1,20CH,73,0.39,2,397
CH,2,spring,1,8CH,74,0.02,2,9
CH,2,spring,1,24CH,75,0.07,2,7
CH,2,spring,1,16CH,76,0.88,2,110
CH,2,spring,1,10CH,77,0.28,2,120
CH,2,spring,1,0CH,78,0.53,2,246
CH,2,spring,1,1CH,79,0.48,2,317
CH,2,spring,1,3CH,80,0.25,2,34
CH,2,spring,1,6CH,81,0.62,2,192
CH,2,spring,1,25CH,82,0.3,2,96
CH,2,spring,1,4CH,83,0.05,2,94
CH,2,spring,1,19CH,84,0.47,2,496
CH,2,spring,1,9CH,85,0.24,2,414
CH,2,spring,1,5CH,86,0.45,2,36
DH,1,spring,1,34DH,93,0.14,1,106
DH,1,spring,1,43DH,94,1.12,1,93
DH,1,spring,1,6DH,95,0.21,1,113
DH,1,spring,1,12DH,96,0.3,1,91
DH,1,spring,1,7DH,97,0.58,1,602
DH,1,spring,1,39DH,98,0.67,1,188
DH,1,spring,1,2DH,99,0.53,1,680
DH,1,spring,1,55DH,100,0.43,1,2260
DH,1,spring,1,36DH,101,0.97,1,227
DH,1,spring,1,56DH,102,0.01,1,70
DH,1,spring,1,57DH,103,1,1,544
DH,1,spring,1,40DH,104,0.45,1,146
DH,1,spring,1,19DH,105,1.2,1,255
DH,1,spring,1,31DH,106,0.35,1,129
DH,1,spring,1,13DH,107,0.67,1,172
DH,1,spring,1,47DH,108,1.4,1,425
DH,1,spring,1,26DH,109,1.3,1,217
DH,1,spring,1,3DH,110,0.92,1,144
DH,1,spring,1,10DH,111,1.14,1,98
DH,1,spring,1,37DH,112,0.61,1,169
DH,2,spring,1,6DH,113,0.23,1,20
DH,2,spring,1,12DH,114,0.3,1,45
DH,2,spring,1,22DH,115,0.52,1,13
DH,2,spring,1,24DH,116,0.78,1,39
DH,2,spring,1,13DH,117,0.87,1,56
DH,2,spring,1,4DH,118,0.57,1,48
DH,2,spring,1,5DH,119,0.72,1,84
DH,2,spring,1,17DH,120,0.68,1,30
DH,2,spring,1,2DH,121,0.18,1,34
DH,2,spring,1,21DH,122,0.58,1,64
DH,2,spring,1,10DH,123,0.81,1,29
DH,2,spring,1,9DH,124,0.68,1,24
DH,2,spring,1,26DH,125,0.7,1,144
DH,2,spring,1,1DH,126,0.35,1,73
DH,2,spring,1,31DH,127,0.84,1,65
DH,2,spring,1,27DH,128,0.52,1,65
DH,2,spring,1,18DH,129,0.95,1,55
DH,2,spring,1,19DH,130,0.62,1,125
DH,2,spring,1,33DH,132,0.8,1,99
DH,2,spring,1,16DH,133,0.82,1,90
DH,2,spring,1,14DH,134,0.41,1,95
DH,2,spring,1,8DH,135,0.63,1,220
DH,2,spring,1,25DH,136,0.92,1,53
DH,2,spring,1,15DH,137,0.3,1,37
DH,2,spring,1,23DH,138,0.87,1,61
LG,1,spring,1,3LGO,139,0.98,1,1033
LG,1,spring,1,8LGO,140,0.98,1,279
LG,1,spring,1,6LGO,141,0.69,1,123
LG,1,spring,1,1LGO,142,0.1,1,21
LG,1,spring,1,7LGO,143,1.16,1,63
LG,1,spring,1,4LGO,144,0.77,1,133
LG,1,spring,1,2LGO,145,0.3,1,68
LG,1,spring,1,5LGO,146,0.3,1,414
LG,1,spring,1,18LGC,147,0.18,2,75
LG,1,spring,1,2LGC,148,0.18,2,711
LG,1,spring,1,5LGC,149,0.35,2,282
LG,1,spring,1,23LGC,150,0.47,2,851
LG,1,spring,1,8LGC,151,0.07,2,104
LG,1,spring,1,3LGC,152,0.05,2,206
LG,1,spring,1,24LGC,153,0.63,2,309
LG,1,spring,1,26LGC,154,0.6,2,110
LG,1,spring,1,4LGC,155,0.27,2,52
LG,1,spring,1,1LGC,156,0.23,2,209
AV,1,feb,2,1AVC,1,0.49,2,11
AV,1,feb,2,12AVC,2,0.57,2,83
AV,1,feb,2,6AVC,3,0.35,2,33
AV,1,feb,2,4AVC,4,0.09,2,21
AV,1,feb,2,2AVC,5,0.64,2,28
AV,1,feb,2,7AVC,6,0.57,2,70
AV,1,feb,2,8AVC,7,0.38,2,56
AV,1,feb,2,10AVC,8,0.39,2,247
AV,1,feb,2,10AVO,9,0.93,1,53
AV,1,feb,2,5AVO,10,0.82,1,37
AV,1,feb,2,1AVO,11,0.11,1,47
AV,1,feb,2,8AVO,12,0.53,1,38
AV,1,feb,2,7AVO,13,0.98,1,39
AV,1,feb,2,4AVO,14,0.18,1,21
AV,1,feb,2,9AVC,15,0.23,2,32
AV,1,feb,2,2AVO,16,0.23,1,35
AV,1,feb,2,6AVO,17,0.22,1,18
AV,2,feb,2,3AVC,19,0.24,2,23
AV,2,feb,2,6AVC,20,0.59,2,75
AV,2,feb,2,7AVC,21,0.32,2,52
AV,2,feb,2,5AVC,22,0.15,2,29
AV,2,feb,2,11AVC,23,1.02,2,23
AV,2,feb,2,4AVC,25,0.29,2,66
AV,2,feb,2,9AVC,26,0.17,2,16
AV,2,feb,2,3AVO,27,0.72,1,21
AV,2,feb,2,1AVO,28,1.3,1,124
AV,2,feb,2,2AVO,29,0.87,1,10
AV,2,feb,2,6AVO,30,1.02,1,27
AV,2,feb,2,4AVO,31,0.74,1,59
AV,2,feb,2,5AVO,32,0.23,1,14
AV,2,feb,2,7AVO,33,0.27,1,58
AV,2,feb,2,8AVO,34,0.68,1,60
CH,1,feb,2,7CH,47,0.35,2,54
CH,1,feb,2,6CH,48,0.31,2,19
CH,1,feb,2,5CH,49,0.25,2,13
CH,1,feb,2,1CH,50,0.8,2,92
CH,1,feb,2,20CH,51,0.19,2,34
CH,1,feb,2,8CH,52,0.62,2,33
CH,1,feb,2,9CH,53,0.07,2,75
CH,1,feb,2,11CH,54,0.7,2,54
CH,1,feb,2,10CH,55,0.32,2,8
CH,1,feb,2,13CH,56,0.71,2,18
CH,1,feb,2,22CH,57,0.95,2,65
CH,1,feb,2,21CH,58,0.4,2,89
CH,1,feb,2,23CH,59,0.4,2,155
CH,1,feb,2,2CH,60,0.28,2,60
CH,1,feb,2,4CH,61,0.38,2,194
CH,1,feb,2,3CH,62,0.48,2,70
CH,1,feb,2,18CH,63,0.12,2,37
CH,1,feb,2,19CH,64,0.11,2,73
CH,1,feb,2,17CH,65,0.68,2,16
CH,1,feb,2,16CH,66,0.14,2,66
CH,2,feb,2,2CH,67,0.33,2,37
CH,2,feb,2,28CH,68,1.24,2,38
CH,2,feb,2,23CH,69,0.45,2,38
CH,2,feb,2,11CH,70,0.45,2,84
CH,2,feb,2,29CH,71,1.07,2,63
CH,2,feb,2,15CH,72,0.8,2,83
CH,2,feb,2,20CH,73,0.85,2,393
CH,2,feb,2,8CH,74,0.76,2,653
CH,2,feb,2,24CH,75,0.2,2,22
CH,2,feb,2,16CH,76,1.45,2,126
CH,2,feb,2,10CH,77,0.81,2,41
CH,2,feb,2,0CH,78,1.03,2,108
CH,2,feb,2,1CH,79,0.32,2,57
CH,2,feb,2,3CH,80,0.48,2,100
CH,2,feb,2,6CH,81,0.77,2,48
CH,2,feb,2,25CH,82,0.39,2,29
CH,2,feb,2,4CH,83,0.45,2,32
CH,2,feb,2,19CH,84,1.13,2,66
CH,2,feb,2,9CH,85,0.97,2,156
CH,2,feb,2,5CH,86,1,2,222
DH,1,feb,2,34DH,93,0.02,1,25
DH,1,feb,2,43DH,94,0.16,1,70
DH,1,feb,2,6DH,95,0.49,1,34
DH,1,feb,2,12DH,96,0.46,1,98
DH,1,feb,2,7DH,97,0.47,1,58
DH,1,feb,2,39DH,98,0.83,1,102
DH,1,feb,2,2DH,99,1.18,1,111
DH,1,feb,2,55DH,100,0.8,1,52
DH,1,feb,2,36DH,101,0.92,1,58
DH,1,feb,2,56DH,102,0.27,1,68
DH,1,feb,2,57DH,103,0.48,1,239
DH,1,feb,2,40DH,104,0.53,1,96
DH,1,feb,2,19DH,105,0.5,1,109
DH,1,feb,2,31DH,106,0.73,1,83
DH,1,feb,2,13DH,107,1.32,1,204
DH,1,feb,2,47DH,108,0.57,1,106
DH,1,feb,2,26DH,109,1.35,1,116
DH,1,feb,2,3DH,110,1,1,102
DH,1,feb,2,10DH,111,1.07,1,140
DH,1,feb,2,37DH,112,0.82,1,132
DH,2,feb,2,6DH,113,1.05,1,56
DH,2,feb,2,12DH,114,1.1,1,203
DH,2,feb,2,22DH,115,0.52,1,36
DH,2,feb,2,24DH,116,0.68,1,13
DH,2,feb,2,13DH,117,0.87,1,59
DH,2,feb,2,4DH,118,0.33,1,59
DH,2,feb,2,5DH,119,0.28,1,96
DH,2,feb,2,17DH,120,1.05,1,146
DH,2,feb,2,2DH,121,0.39,1,68
DH,2,feb,2,21DH,122,1.58,1,113
DH,2,feb,2,10DH,123,0.47,1,17
DH,2,feb,2,9DH,124,0.56,1,50
DH,2,feb,2,26DH,125,0.82,1,42
DH,2,feb,2,1DH,126,0.52,1,49
DH,2,feb,2,31DH,127,1.12,1,37
DH,2,feb,2,27DH,128,0.58,1,28
DH,2,feb,2,18DH,129,0.85,1,35
DH,2,feb,2,19DH,130,1.97,1,49
DH,2,feb,2,32DH,131,1.28,1,67
DH,2,feb,2,33DH,132,0.55,1,128
DH,2,feb,2,16DH,133,1.42,1,32
DH,2,feb,2,14DH,134,0.24,1,26
DH,2,feb,2,8DH,135,0.73,1,39
DH,2,feb,2,25DH,136,1.18,1,62
DH,2,feb,2,15DH,137,0.67,1,19
DH,2,feb,2,23DH,138,0.75,1,76
LG,1,feb,2,3LGO,140,1.35,1,114
LG,1,feb,2,8LGO,140,0.05,1,14
LG,1,feb,2,6LGO,141,0.75,1,85
LG,1,feb,2,1LGO,142,0.93,1,61
LG,1,feb,2,7LGO,143,1.12,1,29
LG,1,feb,2,4LGO,144,1.13,1,31
LG,1,feb,2,2LGO,145,0.92,1,58
LG,1,feb,2,5LGO,146,0.62,1,67
LG,1,feb,2,18LGC,147,0.45,2,57
LG,1,feb,2,2LGC,148,0.52,2,96
LG,1,feb,2,5LGC,149,0.8,2,79
LG,1,feb,2,23LGC,150,0.78,2,92
LG,1,feb,2,8LGC,151,0.15,2,63
LG,1,feb,2,3LGC,152,0.45,2,56
LG,1,feb,2,24LGC,153,0.83,2,45
LG,1,feb,2,26LGC,154,0.87,2,94
LG,1,feb,2,4LGC,155,0.29,2,35
LG,1,feb,2,1LGC,156,0.52,2,255
